<<<<<<< HEAD
work_life_balance,pay___benefits,job_security___advancement,management,culture,company_name,company,url,overall_rating
3.5,3.9,3.1,3.6,3.8,US Nursing ,US-Nursing,https://www.indeed.com/cmp/US-Nursing/reviews?fjobtitle=Registered+Nurse ,3.8
4.1,3.9,3.5,3.9,4.1,Registry ,Registry,https://www.indeed.com/cmp/Registry/reviews?fjobtitle=Registered+Nurse ,4.2
3.8,3.6,3.4,3.3,3.6,THR ,Thr,https://www.indeed.com/cmp/Thr/reviews?fjobtitle=Registered+Nurse ,3.7
4.0,4.0,3.6,3.7,3.9,RNnetwork ,Rnnetwork,https://www.indeed.com/cmp/Rnnetwork/reviews?fjobtitle=Registered+Nurse ,4.2
3.9,2.8,3.7,3.5,3.8,NurSTAT ,Nurstat-1,https://www.indeed.com/cmp/Nurstat-1/reviews?fjobtitle=Registered+Nurse ,4.1
3.5,3.0,2.8,3.3,3.5,Covelo Group ,Covelo-Group,https://www.indeed.com/cmp/Covelo-Group/reviews?fjobtitle=Registered+Nurse ,3.6
4.2,3.5,3.6,3.9,3.9,EDU Healthcare ,Edu-Healthcare,https://www.indeed.com/cmp/Edu-Healthcare/reviews?fjobtitle=Registered+Nurse ,4.0
3.2,3.3,2.8,2.8,3.1,Vertava Health ,Vertava-Health,https://www.indeed.com/cmp/Vertava-Health/reviews?fjobtitle=Registered+Nurse ,3.2
3.6,3.3,3.1,3.4,3.5,Randstad ,Randstad,https://www.indeed.com/cmp/Randstad/reviews?fjobtitle=Registered+Nurse ,3.7
3.8,3.6,3.3,3.6,3.8,All's Well ,All's-Well,https://www.indeed.com/cmp/All's-Well/reviews?fjobtitle=Registered+Nurse ,3.9
3.6,3.3,3.1,3.4,3.5,Randstad ,Randstad,https://www.indeed.com/cmp/Randstad/reviews?fcountry=ALL&fjobtitle=Registered+Nurse ,3.7
3.2,3.6,2.9,2.7,3.0,Centene ,Centene,https://www.indeed.com/cmp/Centene/reviews?fcountry=ALL&fjobtitle=Registered+Nurse ,3.2
3.0,2.8,2.4,2.4,2.6,Valor Healthcare ,Valor-Healthcare,https://www.indeed.com/cmp/Valor-Healthcare/reviews?fjobtitle=Registered+Nurse ,2.6
3.0,3.2,3.1,2.8,3.2,DaVita ,DaVita,https://www.indeed.com/cmp/DaVita/reviews?fjobtitle=Registered+Nurse&start=80 ,3.3
3.1,3.1,2.8,2.8,2.9,Stericycle ,Stericycle,https://www.indeed.com/cmp/Stericycle/reviews?fjobtitle=Registered+Nurse ,3.1
3.5,3.0,3.2,3.2,3.5,Thresholds ,Thresholds,https://www.indeed.com/cmp/Thresholds/reviews?fjobtitle=Registered+Nurse ,3.6
3.7,3.2,3.0,3.1,3.3,Inland Hospital ,Inland-Hospital,https://www.indeed.com/cmp/Inland-Hospital/reviews?fcountry=ALL&fjobtitle=Registered+Nurse ,3.6
2.8,2.9,2.6,2.4,2.5,Wellpath ,Wellpath,https://www.indeed.com/cmp/Wellpath/reviews?fcountry=ALL&fjobtitle=Registered+Nurse&start=140 ,2.8
2.3,2.6,2.3,2.2,2.3,GREENLEAF CENTER ,Greenleaf-Center,https://www.indeed.com/cmp/Greenleaf-Center/reviews?fjobtitle=Registered+Nurse ,2.4
3.5,3.2,2.9,3.2,3.5,TRS Healthcare ,Trs-Healthcare,https://www.indeed.com/cmp/Trs-Healthcare/reviews?fjobtitle=Registered+Nurse ,3.4
3.7,2.9,3.1,3.2,3.4,NR INC ,Nr-Inc,https://www.indeed.com/cmp/Nr-Inc/reviews?fjobtitle=Registered+Nurse ,3.5
3.0,2.9,2.6,2.6,2.8,Merakey Job Security & Advancement reviews: Registered Nurse,Merakey,https://www.indeed.com/cmp/Merakey/reviews?fjobtitle=Registered+Nurse&fcountry=US&ftopic=jobsecadv ,3.0
3.1,3.2,2.9,2.9,3.0,OCEANS HEALTHCARE ,Oceans-Healthcare,https://www.indeed.com/cmp/Oceans-Healthcare/reviews?fjobtitle=Registered+Nurse ,3.1
2.9,3.2,2.8,2.8,2.9,Amedisys ,Amedisys,https://www.indeed.com/cmp/Amedisys/reviews?fcountry=ALL&fjobtitle=Registered+Nurse&start=20 ,3.1
3.3,3.5,3.3,2.9,3.5,Johnston Health ,Johnston-Health,https://www.indeed.com/cmp/Johnston-Health/reviews?fjobtitle=Registered+Nurse ,3.4
2.4,2.6,2.1,2.1,2.2,Ideal Image ,Ideal-Image,https://www.indeed.com/cmp/Ideal-Image/reviews?fjobtitle=Registered+Nurse&start=20 ,2.4
4.4,4.2,4.0,4.3,4.4,LRS Healthcare ,Lrs-Healthcare,https://www.indeed.com/cmp/Lrs-Healthcare/reviews?fjobtitle=Registered+Nurse ,4.3
